time,air_temperature,burning_index_g,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,mean_vapor_pressure_deficit,potential_evapotranspiration,precipitation_amount,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,wind_from_direction,wind_speed
2019-06-23,286.90152,22.654135,20.65854,17.759722,0.5297529,24.018368,19.162247,60.31654,0.010472459,289.784,126.451126,3.9917295
2019-06-30,292.17682,27.398497,20.268099,15.769174,1.015102,32.75153,13.608162,50.61633,0.013668496,305.80914,203.0956,3.6097748
2019-07-07,293.66476,29.706766,19.7507,15.654136,1.0051343,29.613775,16.195408,55.117725,0.014998173,276.43814,174.93124,3.229431
2019-07-14,292.23404,29.804512,18.06348,13.403759,1.2178518,34.54184,1.2688775,47.259933,0.013214136,322.6149,179.92052,3.1730397
2019-07-21,294.49957,27.526316,18.369173,16.471966,0.9434694,30.787245,47.7153,57.039207,0.016666498,266.40753,189.42429,4.255639
2019-07-28,291.06445,37.984962,18.516758,14.332116,1.1040064,34.236736,0.1637755,47.876583,0.011697045,310.19238,202.97316,4.014286
2019-08-04,290.6903,31.067669,17.599356,13.911817,0.9783995,28.642344,8.936225,49.302258,0.011591053,287.96283,195.57787,3.2450051
2019-08-11,292.25394,31.548872,16.323202,13.016435,1.1783135,29.72296,4.016327,45.375835,0.012108142,267.53738,236.17401,2.8859289
2019-08-18,292.00204,27.917294,16.900646,16.663801,0.6652524,21.400513,32.69337,59.689796,0.014001063,197.055,174.25455,3.235768
2019-08-25,291.00922,29.548872,18.111063,16.24898,0.87137485,26.836737,10.944899,51.926212,0.011483727,255.04309,146.46509,3.4791625
2019-09-01,288.65002,35.0,18.226744,15.684102,0.8533297,24.855103,24.006632,48.43523,0.010203125,213.92242,190.81955,4.2435017
2019-09-08,288.15317,29.969925,18.231365,16.3058,0.67143935,16.138266,4.3056126,54.663914,0.010529194,211.34276,203.43716,3.6458647
2019-09-15,290.1257,32.05263,19.152416,18.840174,0.79501605,18.650002,35.71225,52.914288,0.012746465,208.0099,175.0333,4.3814178
2019-09-22,290.9754,22.93985,20.171001,17.696562,0.861869,16.615307,25.024488,52.79796,0.011909741,182.12802,129.17831,3.8624055
2019-09-29,287.11536,30.796993,21.224705,18.945864,0.596552,14.424491,55.5199,58.18883,0.009801095,174.42752,202.54564,4.813749
2019-10-06,285.62247,24.984962,22.953491,20.460901,0.54748654,12.921429,25.693878,55.565628,0.009754543,162.83038,182.15681,4.4045115
2019-10-13,280.4868,38.18045,21.147154,14.369389,0.7050483,13.596428,10.988265,37.718586,0.0057557574,161.7838,153.76584,5.055317
2019-10-20,279.08453,34.31579,19.310205,13.794307,0.5216971,11.043367,0.19591838,43.8377,0.0051726103,150.6739,187.31902,4.473362
2019-10-27,278.5999,37.225563,18.311817,15.38088,0.3875725,8.904082,45.10204,52.024815,0.005099248,106.109344,216.77444,5.564554
2019-11-03,273.29364,27.646616,20.89968,21.087112,0.1909667,5.247449,27.881632,61.444893,0.004013211,72.35779,226.25674,5.6314716
2019-11-10,270.86688,33.37594,20.29495,16.67637,0.30799142,6.979592,4.101021,43.213,0.0029919334,93.61676,255.00752,5.0061226
2019-11-17,266.38034,30.135338,19.904514,18.47798,0.14508057,3.4326534,2.2846937,56.837166,0.0024214822,92.78895,202.6101,4.853061
2019-11-24,274.32556,22.045113,19.658108,17.746939,0.28465086,5.3188777,9.77347,53.493877,0.0036827065,75.15747,212.62514,3.7512355
